startup_name,industry,funding,founder_experience,employees,location,age,revenue,success
Startup_0,Fintech,,,,USA,,130268.0,0
Startup_1,Fintech,NaN,,126.0,India,,541430.0,1
Startup_2,Edtech,NaN,4.0,,India,,,1
Startup_3,Health,NaN,2.0,,UK,12.0,,0
Startup_4,Fintech,NaN,,196.0,Canada,,255796.0,0
Startup_5,AI,abc,,318.0,,,,0
Startup_6,CleanTech,abc,,,,11.0,890910.0,1
Startup_7,AI,1483257,,,India,,149981.0,0
Startup_8,Edtech,134654,,368.0,Canada,7.0,348947.0,0
Startup_9,AI,abc,,,UK,,,0
Startup_10,Edtech,539492,,171.0,USA,2.0,,0
Startup_11,Edtech,abc,,,USA,,,0
Startup_12,Edtech,NaN,,344.0,,,926606.0,0
Startup_13,AI,728843,7.0,,Germany,13.0,,1
Startup_14,Edtech,,,,Germany,1.0,480337.0,1
Startup_15,Fintech,1823415,4.0,6.0,USA,14.0,,1
Startup_16,AI,NaN,10.0,264.0,India,,291836.0,0
Startup_17,Edtech,NaN,,222.0,USA,,216769.0,0
Startup_18,Health,611353,4.0,274.0,USA,8.0,584685.0,0
Startup_19,Health,abc,8.0,217.0,Canada,13.0,487281.0,0
Startup_20,AI,abc,13.0,45.0,Canada,13.0,,1
Startup_21,AI,NaN,1.0,349.0,UK,7.0,284712.0,1
Startup_22,CleanTech,,1.0,,,8.0,,0
Startup_23,AI,NaN,11.0,85.0,USA,8.0,,1
Startup_24,Health,abc,,383.0,USA,,154633.0,1
Startup_25,Health,338998,9.0,32.0,,,,1
Startup_26,Health,,12.0,,India,,,0
Startup_27,CleanTech,963910,,,USA,12.0,476551.0,1
Startup_28,Health,1371685,,,UK,,919684.0,1
Startup_29,Health,NaN,,,India,1.0,,1
Startup_30,AI,,,,,,139176.0,0
Startup_31,Ecommerce,967710,,350.0,India,,,1
Startup_32,CleanTech,303618,,245.0,Germany,,,0
Startup_33,CleanTech,abc,,,UK,,,0
Startup_34,Health,NaN,13.0,,,,794684.0,1
Startup_35,Health,1263475,13.0,,India,7.0,,0
Startup_36,AI,abc,2.0,,India,,,0
Startup_37,Ecommerce,492296,6.0,,,12.0,,0
Startup_38,Health,abc,,132.0,Germany,,95766.0,1
Startup_39,Ecommerce,,7.0,,Canada,,,1
Startup_40,Edtech,1751240,,,Germany,,519046.0,0
Startup_41,Edtech,,8.0,415.0,Germany,,925533.0,1
Startup_42,Health,NaN,1.0,,USA,,,1
Startup_43,Ecommerce,abc,9.0,,USA,1.0,857437.0,0
Startup_44,Fintech,489792,12.0,299.0,Canada,,502690.0,0
Startup_45,AI,466880,5.0,,USA,,,1
Startup_46,Health,820746,,6.0,,,,1
Startup_47,AI,abc,,,Germany,1.0,337824.0,1
Startup_48,AI,,2.0,57.0,India,12.0,145657.0,1
Startup_49,Edtech,,6.0,,USA,7.0,,0
Startup_50,Ecommerce,,,188.0,Canada,,,0
Startup_51,Fintech,861774,,,UK,,989587.0,1
Startup_52,Health,,6.0,474.0,Germany,11.0,,0
Startup_53,Fintech,NaN,,101.0,,,979611.0,1
Startup_54,Edtech,abc,,468.0,India,13.0,,1
Startup_55,Fintech,,4.0,,USA,,579042.0,1
Startup_56,CleanTech,NaN,,152.0,Canada,,234835.0,1
Startup_57,CleanTech,451896,,,Germany,,,0
Startup_58,Ecommerce,NaN,1.0,,Canada,12.0,,1
Startup_59,Ecommerce,,18.0,,UK,14.0,,0
Startup_60,CleanTech,abc,7.0,256.0,UK,10.0,127512.0,0
Startup_61,Edtech,abc,17.0,6.0,India,1.0,,1
Startup_62,Health,abc,12.0,457.0,Germany,,311999.0,1
Startup_63,Health,NaN,,237.0,UK,3.0,,0
Startup_64,Edtech,1638015,,135.0,India,,550583.0,1
Startup_65,AI,957317,1.0,412.0,USA,4.0,,1
Startup_66,Fintech,abc,,424.0,Germany,,,1
Startup_67,Fintech,566349,,,Canada,,844792.0,1
Startup_68,AI,NaN,18.0,,India,14.0,,0
Startup_69,Edtech,1176081,,,USA,13.0,656584.0,0
Startup_70,AI,abc,,72.0,Canada,1.0,,0
Startup_71,Edtech,,8.0,139.0,UK,3.0,630704.0,1
Startup_72,Ecommerce,NaN,1.0,180.0,,12.0,,0
Startup_73,AI,221890,14.0,162.0,Canada,6.0,,0
Startup_74,Ecommerce,abc,19.0,442.0,USA,,170810.0,1
Startup_75,CleanTech,,2.0,281.0,,,,1
Startup_76,Health,NaN,,452.0,India,1.0,770020.0,0
Startup_77,Edtech,,,151.0,Germany,,647234.0,0
Startup_78,AI,1994624,,176.0,UK,,,0
Startup_79,Health,1404204,,,UK,,198274.0,0
Startup_80,Fintech,abc,9.0,,Germany,,809852.0,0
Startup_81,Edtech,1981760,,185.0,,3.0,,1
Startup_82,Health,abc,1.0,,India,,274079.0,0
Startup_83,AI,abc,10.0,,UK,,385890.0,0
Startup_84,CleanTech,abc,,284.0,USA,,92991.0,1
Startup_85,Health,1102590,2.0,,UK,,,0
Startup_86,Ecommerce,abc,17.0,108.0,Canada,,,1
Startup_87,Ecommerce,,,,India,,550089.0,1
Startup_88,Health,,3.0,,India,9.0,,0
Startup_89,Edtech,714076,,317.0,UK,,,0
Startup_90,Health,NaN,1.0,,USA,,,1
Startup_91,Fintech,NaN,19.0,,USA,,,1
Startup_92,CleanTech,,19.0,157.0,,,725086.0,0
Startup_93,AI,,17.0,184.0,Germany,,409957.0,1
Startup_94,AI,NaN,11.0,448.0,Canada,,,1
Startup_95,Edtech,abc,,112.0,India,,631523.0,1
Startup_96,Health,NaN,,484.0,India,,969597.0,0
Startup_97,Health,abc,3.0,,India,8.0,,1
Startup_98,AI,1859039,,,India,,890045.0,1
Startup_99,Edtech,NaN,,,USA,3.0,,1
Startup_100,Edtech,1726345,,,India,,,0
Startup_101,CleanTech,,9.0,400.0,USA,,,1
Startup_102,Fintech,,1.0,243.0,,,,0
Startup_103,AI,1761741,,,USA,,,1
Startup_104,CleanTech,NaN,,276.0,Germany,,466438.0,0
Startup_105,Health,1652239,5.0,,USA,13.0,,0
Startup_106,CleanTech,NaN,,158.0,UK,,,1
Startup_107,AI,abc,,,UK,5.0,,0
Startup_108,Fintech,915264,,450.0,India,4.0,,0
Startup_109,Ecommerce,abc,,222.0,Canada,,,0
Startup_110,AI,,7.0,104.0,,1.0,338717.0,1
Startup_111,AI,1157677,,,Canada,10.0,,1
Startup_112,Health,NaN,5.0,,India,,,1
Startup_113,Health,483374,,254.0,,3.0,907225.0,1
Startup_114,Ecommerce,abc,,329.0,India,13.0,,0
Startup_115,Edtech,NaN,,,UK,,,1
Startup_116,Ecommerce,NaN,12.0,182.0,Canada,,972699.0,1
Startup_117,Fintech,,,449.0,India,,,1
Startup_118,AI,,12.0,327.0,UK,,,0
Startup_119,CleanTech,abc,,47.0,USA,12.0,,0
Startup_120,Ecommerce,abc,12.0,,USA,,687521.0,1
Startup_121,CleanTech,,19.0,,UK,,,1
Startup_122,Ecommerce,NaN,,97.0,Canada,,952809.0,0
Startup_123,Edtech,1436073,2.0,,Germany,9.0,826790.0,1
Startup_124,AI,53267,,,Canada,,,1
Startup_125,Ecommerce,,,,Germany,,240156.0,1
Startup_126,Ecommerce,NaN,4.0,,,5.0,,1
Startup_127,Edtech,NaN,,,Canada,3.0,105999.0,1
Startup_128,Health,,,491.0,,8.0,764086.0,1
Startup_129,Health,NaN,5.0,,Germany,,,1
Startup_130,Health,,3.0,,UK,14.0,918320.0,0
Startup_131,Fintech,NaN,,,UK,6.0,,1
Startup_132,Edtech,NaN,19.0,,India,4.0,,0
Startup_133,AI,NaN,9.0,407.0,Germany,12.0,,1
Startup_134,Edtech,abc,,,India,4.0,860530.0,0
Startup_135,Ecommerce,abc,15.0,,USA,5.0,,0
Startup_136,Fintech,abc,12.0,,Canada,4.0,686490.0,0
Startup_137,Edtech,1448228,4.0,,USA,7.0,,1
Startup_138,Fintech,NaN,,,India,,172617.0,0
Startup_139,Fintech,NaN,,,Canada,,553636.0,1
Startup_140,Fintech,,11.0,335.0,USA,,,1
Startup_141,AI,1826203,,78.0,Canada,,251915.0,0
Startup_142,CleanTech,NaN,,11.0,India,14.0,,1
Startup_143,Ecommerce,NaN,,,India,2.0,,0
Startup_144,Ecommerce,abc,,9.0,India,13.0,,0
Startup_145,Edtech,,,140.0,Germany,13.0,,0
Startup_146,Ecommerce,abc,,331.0,,9.0,,1
